code,description,name,address,city,state,zip,phone,fax,person,business indicator,women business indicator,local business indicator,over million dollar revenue indicator,date
10500  ,LOCKERS                                                                                   ,"CRAFT INSTALLATIONS OF NEW YORK, INC.",1767 CENTRAL PARK AVENUE,YONKERS                       ,NY,10710          ,281-291-9565                  ,281-723-1763   ,Linda Richard                 ,N,N,N,N,09/26/2020
10600  ,PARTITIONS                                                                                ,"CRAFT INSTALLATIONS OF NEW YORK, INC.",1767 CENTRAL PARK AVENUE,YONKERS                       ,NY,10710          ,281-291-9565                  ,281-723-1763   ,Linda Richard                 ,N,N,N,N,09/26/2020
08300  ,SPECIAL DOORS                                                                             ,"CRAFTSMAN STOREFRONT & GLASS, INC.",31 CLEVELAND AVENUE,BAY SHORE                     ,NY,11706          ,631-667-1420                  ,631-667-1448   ,Terry Volpe                   ,N,N,N,Y,04/05/2019
08400  ,ENTRANCES AND STOREFRONTS                                                                 ,"CRAFTSMAN STOREFRONT & GLASS, INC.",31 CLEVELAND AVENUE,BAY SHORE                     ,NY,11706          ,631-667-1420                  ,631-667-1448   ,Terry Volpe                   ,N,N,N,Y,04/05/2019
08500  ,METAL WINDOWS                                                                             ,"CRAFTSMAN STOREFRONT & GLASS, INC.",31 CLEVELAND AVENUE,BAY SHORE                     ,NY,11706          ,631-667-1420                  ,631-667-1448   ,Terry Volpe                   ,N,N,N,Y,04/05/2019
08800  ,GLAZING                                                                                   ,"CRAFTSMAN STOREFRONT & GLASS, INC.",31 CLEVELAND AVENUE,BAY SHORE                     ,NY,11706          ,631-667-1420                  ,631-667-1448   ,Terry Volpe                   ,N,N,N,Y,04/05/2019
08900  ,GLAZED CURTAIN WALLS                                                                      ,"CRAFTSMAN STOREFRONT & GLASS, INC.",31 CLEVELAND AVENUE,BAY SHORE                     ,NY,11706          ,631-667-1420                  ,631-667-1448   ,Terry Volpe                   ,N,N,N,Y,04/05/2019
02210  ,SUBSURFACE INVESTIGATION                                                                  ,"Craig Geotechnical Drilling Co, Inc.",5230 Atlantic Avenue,Mays Landing                  ,NJ,08330          ,609-625-4862                  ,,Nancy Bowen                   ,N,N,N,N,05/15/2020
02145  ,GROUNDWATER TREATMENT SYSTEMS                                                             ,"CREAMER ENVIRONMENTAL, INC.",12 Old Bridge Road,Cedar Grove                   ,NJ,07009          ,201-968-3300                  ,201-215-9612   ,Tracy Straka                  ,N,N,N,Y,12/28/2020
02195  ,REMEDIATION SOIL STABILIZATION                                                            ,"CREAMER ENVIRONMENTAL, INC.",12 Old Bridge Road,Cedar Grove                   ,NJ,07009          ,201-968-3300                  ,201-215-9612   ,Tracy Straka                  ,N,N,N,Y,12/28/2020
02300  ,EARTHWORK                                                                                 ,"CREAMER ENVIRONMENTAL, INC.",12 Old Bridge Road,Cedar Grove                   ,NJ,07009          ,201-968-3300                  ,201-215-9612   ,Tracy Straka                  ,N,N,N,Y,12/28/2020
16100  ,WIRING METHODS                                                                            ,"Creative Cabling Solutions, Inc.",20 Madison Avenue,Hicksville                    ,NY,11801-5207     ,516-867-5577                  ,,Donna Stoddard                ,N,Y,N,N,07/18/2019
16700  ,COMMUNICATIONS                                                                            ,"Creative Cabling Solutions, Inc.",20 Madison Avenue,Hicksville                    ,NY,11801-5207     ,516-867-5577                  ,,Donna Stoddard                ,N,Y,N,N,07/18/2019
03900  ,CONCRETE RESTORATION/CLEANING                                                             ,"CREATIVE TOUCH CONSTRUCTION, CORP.",817 FOSTER AVE,BROOKLYN                      ,NY,11230          ,917-916-4707                  ,,SHAKEEL A CHOUDHRY            ,Y,N,N,N,08/16/2019
04900  ,MASONRY RESTORATION/CLEANING                                                              ,"CREATIVE TOUCH CONSTRUCTION, CORP.",817 FOSTER AVE,BROOKLYN                      ,NY,11230          ,917-916-4707                  ,,SHAKEEL A CHOUDHRY            ,Y,N,N,N,08/16/2019
06200  ,FINISH CARPENTRY                                                                          ,"CREATIVE TOUCH CONSTRUCTION, CORP.",817 FOSTER AVE,BROOKLYN                      ,NY,11230          ,917-916-4707                  ,,SHAKEEL A CHOUDHRY            ,Y,N,N,N,08/16/2019
07100  ,WATERPROOFING                                                                             ,"CREATIVE TOUCH CONSTRUCTION, CORP.",817 FOSTER AVE,BROOKLYN                      ,NY,11230          ,917-916-4707                  ,,SHAKEEL A CHOUDHRY            ,Y,N,N,N,08/16/2019
07300  ,SHINGLES AND ROOFING TILES                                                                ,"CREATIVE TOUCH CONSTRUCTION, CORP.",817 FOSTER AVE,BROOKLYN                      ,NY,11230          ,917-916-4707                  ,,SHAKEEL A CHOUDHRY            ,Y,N,N,N,08/16/2019
09630  ,UNIT MASONRY FLOORING                                                                     ,"CREATIVE TOUCH CONSTRUCTION, CORP.",817 FOSTER AVE,BROOKLYN                      ,NY,11230          ,917-916-4707                  ,,SHAKEEL A CHOUDHRY            ,Y,N,N,N,08/16/2019
09900  ,PAINTING                                                                                  ,"CREATIVE TOUCH CONSTRUCTION, CORP.",817 FOSTER AVE,BROOKLYN                      ,NY,11230          ,917-916-4707                  ,,SHAKEEL A CHOUDHRY            ,Y,N,N,N,08/16/2019
06100  ,ROUGH CARPENTRY                                                                           ,Creer Construction LTD.,16  W. 32nd Street,New York                      ,NY,10001          ,212-696-0756                  ,646-662-0753   ,Hyunjin Bae                   ,Y,Y,N,N,07/26/2019
06200  ,FINISH CARPENTRY                                                                          ,Creer Construction LTD.,16  W. 32nd Street,New York                      ,NY,10001          ,212-696-0756                  ,646-662-0753   ,Hyunjin Bae                   ,Y,Y,N,N,07/26/2019
09100  ,METAL SUPPORT AND FRAMES                                                                  ,Creer Construction LTD.,16  W. 32nd Street,New York                      ,NY,10001          ,212-696-0756                  ,646-662-0753   ,Hyunjin Bae                   ,Y,Y,N,N,07/26/2019
09250  ,GYPSUM BOARD                                                                              ,Creer Construction LTD.,16  W. 32nd Street,New York                      ,NY,10001          ,212-696-0756                  ,646-662-0753   ,Hyunjin Bae                   ,Y,Y,N,N,07/26/2019
80095  ,FLOORING                                                                                  ,Creer Construction LTD.,16  W. 32nd Street,New York                      ,NY,10001          ,212-696-0756                  ,646-662-0753   ,Hyunjin Bae                   ,Y,Y,N,N,07/26/2019
86100  ,CONSULTANT-OTHER                                                                          ,CRESCENT CONSULTING ASSOCIATES INC.,2 Stowe Road,Peekskill                     ,NY,10566          ,914-788-9244                  ,,Luis Segarra                  ,Y,N,N,Y,08/18/2019
86060  ,PERSONNEL SERVICES - TEMPORARY                                                            ,Crossfire Consulting Corp.,1940 Commerce Street,Yorktown Heights              ,NY,10598          ,917-701-4905                  ,914-302-2900   ,Beth Boyce                    ,N,Y,N,Y,05/23/2021
06100  ,ROUGH CARPENTRY                                                                           ,Crossroads Construction Corp.,646 Middle Country Road,St. James                     ,NY,11780          ,631-366-3006                  ,631-235-6404   ,Terrence Revere               ,N,N,N,N,05/07/2021
06200  ,FINISH CARPENTRY                                                                          ,Crossroads Construction Corp.,646 Middle Country Road,St. James                     ,NY,11780          ,631-366-3006                  ,631-235-6404   ,Terrence Revere               ,N,N,N,N,05/07/2021
08100  ,METAL DOORS AND FRAMES                                                                    ,Crossroads Construction Corp.,646 Middle Country Road,St. James                     ,NY,11780          ,631-366-3006                  ,631-235-6404   ,Terrence Revere               ,N,N,N,N,05/07/2021
08700  ,HARDWARE                                                                                  ,Crossroads Construction Corp.,646 Middle Country Road,St. James                     ,NY,11780          ,631-366-3006                  ,631-235-6404   ,Terrence Revere               ,N,N,N,N,05/07/2021
09250  ,GYPSUM BOARD                                                                              ,Crossroads Construction Corp.,646 Middle Country Road,St. James                     ,NY,11780          ,631-366-3006                  ,631-235-6404   ,Terrence Revere               ,N,N,N,N,05/07/2021
09510  ,ACOUSTICAL TREATMENT                                                                      ,Crossroads Construction Corp.,646 Middle Country Road,St. James                     ,NY,11780          ,631-366-3006                  ,631-235-6404   ,Terrence Revere               ,N,N,N,N,05/07/2021
09900  ,PAINTING                                                                                  ,"Crossroads JV, LLC.",25 Cain Drive,Plainview                     ,NY,11803          ,516-605-1122                  ,516-330-5366   ,Sheetal Pipada                ,Y,N,N,N,06/17/2019
86080  ,SECURITY SERVICES - WATCHGUARD/PATROL                                                     ,"CROWN PROTECTIVE SERVICES, INC.",28 Autumn Lane,North Amityville              ,NY,11701          ,718-772-8952                  ,631-841-6433   ,Bola Adesheila                ,Y,N,N,N,11/13/2018
80250  ,SIGNAGE                                                                                   ,"Crown Sign Systems, Inc.",7 Odell Plaza ,Yonkers                       ,NY,10701          ,914-375-2118                  ,914-375-1891   ,Michelle Strum                ,N,Y,N,N,08/18/2019
07100  ,WATERPROOFING                                                                             ,"Crown Waterproofing, Inc.",1 West Sanford Boulevard,MOUNT VERNON                  ,NY,10550          ,914-664-4512                  ,516-369-6260   ,GERARD DECINA                 ,N,N,N,N,09/22/2018
07900  ,JOINT SEALERS                                                                             ,"Crown Waterproofing, Inc.",1 West Sanford Boulevard,MOUNT VERNON                  ,NY,10550          ,914-664-4512                  ,516-369-6260   ,GERARD DECINA                 ,N,N,N,N,09/22/2018
